source,id,ossl_method,name,abbrev,unit,n_available_selMaster,n_available_allMaster,description
kssl_calc,1245,usda.c1245,"Active Carbon, weight note, F, Cary 60",ActCWt,(NA),NA,NA,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1239,usda.c1239,"Active Carbon, weight note, M, Cary 50",ActCWt,(NA),61,61,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1243,usda.c1243,"Active Carbon, weight note, M, Cary 60",ActCWt,(NA),NA,NA,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1240,usda.c1240,"Active Carbon, weight note, N, Cary 50",ActCWt,(NA),58,58,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1244,usda.c1244,"Active Carbon, weight note, N, Cary 60",ActCWt,(NA),NA,NA,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1238,usda.c1238,"Active Carbon, weight note, S, Cary 50",ActCWt,(NA),2998,2998,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1242,usda.c1242,"Active Carbon, weight note, S, Cary 60",ActCWt,(NA),NA,NA,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1246,usda.c1246,"Active Carbon, weight note, S80, Cary 50",ActCWt,(NA),214,214,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1247,usda.c1247,"Active Carbon, weight note, S80, Cary 60",ActCWt,(NA),NA,NA,Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_analyte,630,usda.a630,"Aegirine-Augite, petro_count",min_AI_petro_count,count,NA,NA,to be added
kssl_analyte,1386,usda.a1386,"Aegirine-Augite, x-ray pm",min_AI_x-ray_pm,peak_size,NA,NA,to be added
kssl_analyte,1,usda.a1,"Aggregate Stability, 0.5-2mm Aggregates",aggstb,% wt,NA,3221,Aggregate stability is the weight percent of 0.5mm - 2mm aggregates remaining after wet sieving.
kssl_analyte,1518,usda.a1518,"Aggregate Stability, 0.5-2mm Aggregates, Univ of Missouri",aggstb_MO,% wt,NA,113,Aggregate stability is the weight percent of 0.5mm - 2mm aggregates remaining after wet sieving.  Analyzed at University of Missouri Soil Health Assessment Center.
kssl_analyte,110,usda.a110,"Albite, petro_count",min_FB_petro_count,count,1,1,to be added
kssl_analyte,1241,usda.a1241,"Albite, x-ray pm",min_FB_x-ray_pm,peak_size,NA,NA,to be added
kssl_analyte,633,usda.a633,"Allophane, petro_count",min_AL_petro_count,count,NA,NA,to be added
kssl_analyte,1387,usda.a1387,"Allophane, x-ray pm",min_AL_x-ray_pm,peak_size,NA,NA,to be added
kssl_calc,1314,usda.c1314,"AlplushalfFe times 15 plus Glass, GP prep, Disp, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1315,usda.c1315,"AlplushalfFe times 15 plus Glass, M prep, Disp, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1313,usda.c1313,"AlplushalfFe times 15 plus Glass, N prep, Disp, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1312,usda.c1312,"AlplushalfFe times 15 plus Glass, S prep, Disp, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,987,usda.c987,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,988,usda.c988,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 2",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,989,usda.c989,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 3",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,990,usda.c990,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 4",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1159,usda.c1159,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 5",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,991,usda.c991,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,992,usda.c992,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 2",alfe15_glass,%,5,5,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,993,usda.c993,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 3",alfe15_glass,%,20,20,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,994,usda.c994,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 4",alfe15_glass,%,2,2,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1160,usda.c1160,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 5",alfe15_glass,%,401,401,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,983,usda.c983,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 1",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,984,usda.c984,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 2",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,985,usda.c985,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 3",alfe15_glass,%,4,4,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,986,usda.c986,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 4",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1158,usda.c1158,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 5",alfe15_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,979,usda.c979,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 1",alfe15_glass,%,57,57,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,980,usda.c980,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 2",alfe15_glass,%,68,68,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,981,usda.c981,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 3",alfe15_glass,%,543,543,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,982,usda.c982,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 4",alfe15_glass,%,517,517,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1157,usda.c1157,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 5",alfe15_glass,%,423,423,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1318,usda.c1318,"AlplushalfFe times 60 plus Glass, GP prep, Disp, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1319,usda.c1319,"AlplushalfFe times 60 plus Glass, M prep, Disp, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1317,usda.c1317,"AlplushalfFe times 60 plus Glass, N prep, Disp, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1316,usda.c1316,"AlplushalfFe times 60 plus Glass, S prep, Disp, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1003,usda.c1003,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1004,usda.c1004,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 2",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1005,usda.c1005,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 3",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1006,usda.c1006,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 4",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1163,usda.c1163,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 5",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1007,usda.c1007,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1008,usda.c1008,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 2",alfe60_glass,%,5,5,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1009,usda.c1009,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 3",alfe60_glass,%,20,20,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1010,usda.c1010,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 4",alfe60_glass,%,2,2,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1164,usda.c1164,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 5",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,999,usda.c999,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 1",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1000,usda.c1000,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 2",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1001,usda.c1001,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 3",alfe60_glass,%,4,4,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1002,usda.c1002,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 4",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1162,usda.c1162,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 5",alfe60_glass,%,NA,NA,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,995,usda.c995,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 1",alfe60_glass,%,57,57,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,996,usda.c996,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 2",alfe60_glass,%,68,68,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,997,usda.c997,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 3",alfe60_glass,%,543,543,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,998,usda.c998,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 4",alfe60_glass,%,517,517,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1161,usda.c1161,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 5",alfe60_glass,%,48,48,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1298,usda.c1298,"Aluminum plus half Iron Oxalate, GP Prep, Disp, Inst Set 1",al_fe_ox,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,471,usda.c471,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 1",al_fe_ox1,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,472,usda.c472,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 2",al_fe_ox2,% wt,NA,2,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,622,usda.c622,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 3",al_fe_ox3,% wt,NA,2,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,942,usda.c942,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 4",al_fe_ox4,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1143,usda.c1143,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 5",al_fe_ox5,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1299,usda.c1299,"Aluminum plus half Iron Oxalate, HM Prep, Disp, Inst Set 1",al_fe_ox,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,467,usda.c467,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 1",al_fe_ox1,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,468,usda.c468,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 2",al_fe_ox2,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,620,usda.c620,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 3",al_fe_ox3,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,946,usda.c946,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 4",al_fe_ox4,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1144,usda.c1144,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 5",al_fe_ox5,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1300,usda.c1300,"Aluminum plus half Iron Oxalate, M Prep, Disp, Inst Set 1",al_fe_ox,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,465,usda.c465,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 1",al_fe_ox1,% wt,1,1,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,466,usda.c466,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 2",al_fe_ox2,% wt,41,41,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,619,usda.c619,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 3",al_fe_ox3,% wt,43,43,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,947,usda.c947,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 4",al_fe_ox4,% wt,4,4,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1145,usda.c1145,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 5",al_fe_ox5,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1301,usda.c1301,"Aluminum plus half Iron Oxalate, MW Prep, Disp, Inst Set 1",al_fe_ox,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,473,usda.c473,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 1",al_fe_ox1,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,474,usda.c474,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 2",al_fe_ox2,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,623,usda.c623,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 3",al_fe_ox3,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,948,usda.c948,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 4",al_fe_ox4,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1146,usda.c1146,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 5",al_fe_ox5,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1302,usda.c1302,"Aluminum plus half Iron Oxalate, N Prep, Disp, Inst Set 1",al_fe_ox,% wt,99,99,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,469,usda.c469,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 1",al_fe_ox1,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,470,usda.c470,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 2",al_fe_ox2,% wt,142,142,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,621,usda.c621,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 3",al_fe_ox3,% wt,4,4,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,949,usda.c949,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 4",al_fe_ox4,% wt,329,329,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1147,usda.c1147,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 5",al_fe_ox5,% wt,NA,NA,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1303,usda.c1303,"Aluminum plus half Iron Oxalate, S Prep, Disp, Inst Set 1",al_fe_ox,% wt,3671,3671,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,463,usda.c463,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 1",al_fe_ox1,% wt,920,920,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,464,usda.c464,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 2",al_fe_ox2,% wt,1364,1364,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,618,usda.c618,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 3",al_fe_ox3,% wt,8534,8534,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,950,usda.c950,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 4",al_fe_ox4,% wt,8688,8688,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1148,usda.c1148,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 5",al_fe_ox5,% wt,3349,3349,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1,usda.c1,"Aluminum Saturation, CEC-Set 1",al_sat_cec1,%,469,469,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,123,usda.c123,"Aluminum Saturation, CEC-Set 2",al_sat_cec2,%,NA,NA,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,333,usda.c333,"Aluminum Saturation, CEC-Set 3",al_sat_cec3,%,NA,NA,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,476,usda.c476,"Aluminum Saturation, CEC-Set 4",al_sat_cec4,%,NA,NA,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,477,usda.c477,"Aluminum Saturation, CEC-Set 5",al_sat_cec5,%,NA,NA,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,478,usda.c478,"Aluminum Saturation, CEC-Set 6",al_sat_cec6,%,NA,NA,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,502,usda.c502,"Aluminum Saturation, CECd-Set 1",al_sat_cecd1,%,125,125,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
