table,original_name,import,ossl_name,original_description,comment
FR380_chemical,Horizon base (cm),,,The base of the soil horizon,"NA; NA"
FR380_chemical,0-10cm sample disturbed or undistrubed,,,Collected from either distrubed or non-disturbed areas,"NA; Watt et al. (2005; 2008)"
FR380_chemical,Comment,,,NA,"NA; NA"
FR380_chemical,LCR_Sample ID,,,Manaaki Whenua - Landcare Research (LCR) sample ID,"NA; NA"
FR380_chemical,LCR_Soil profile ID,,,Manaaki Whenua - Landcare Research (LCR) soil profile ID,"NA; NA"
FR380_chemical,LCR_Lab letter,,,Manaaki Whenua - Landcare Research (LCR) soil horizon lab letter,"NA; NA"
FR380_chemical,LCR_Horizon number,,,Manaaki Whenua - Landcare Research (LCR) soil horizon number,"NA; NA"
FR380_chemical,LCR_pH [H2O],,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",pH measured by 1:2.5 soil/water suspension; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Total Carbon (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",total organic carbon (C) and total nitrogen (N) measured by LECO TruMac; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Total Nitrogen (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","NA; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_Carbon/Nitrogen,,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",ratio of total C and total N; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_P Olsen Available (ug/g),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","available phosphorus using the Olsen P method, extraction 1:20 ratio, with 0.5M sodium hydrogen carbonate adjusted to pH 8.5; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_P Bray Available (ug/g),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","available phosphorus using the Bray 2-soluble P method, extraction 0.3 M NH4F and 0.1 M HCl, at a ratio of 1:10 soil:extractant; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_P inorganic (mg%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","inorganic phosphorus, extraction 0.5M H2SO4 at a ratio of 1:200 soil:extractant; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_P organic (mg%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",difference between total P and inorganic P: organic phosphorus measured by the increase in soluble P caused by ignition; ignition at 550°C and extraction 0.5M H2SO4 at a ratio of 1:200 soil:extractant; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_P Total (mg%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",sum of inorganic and organic phosphorus; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_P retention (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing","phosphorus retention, soil shaken with 1,000 mg/L P solution at pH 4.6; Watt et al. (2005; 2008) and Ross et al. (2009)"
FR380_chemical,LCR_CEC (me.%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",ammonium acetate extraction and leaching using sodium chloride; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Sum bases (me.%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",calculation; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Base saturation (%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",calculation; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange Ca (me.%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange Mg (me.%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange K (me.%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,LCR_Exchange Na (me.%),,,"Manaaki Whenua - Landcare Research (LCR) Environmental Chemistry Laboratory, soil testing",ammonium acetate leaching; Watt et al. (2005; 2008) and Ross et al. (2009)
FR380_chemical,Scion_Sample ID,,,Scion sample ID,"NA; NA"
FR380_chemical,Scion_pH [H2O],,,Scion soil chemistry test,pH measured by 1:2.5 soil/water suspension; Garrett et al. (2022)
FR380_chemical,Scion_Bray P (mg/kg) seq 1,,,Scion soil chemistry test,"Bray-extractable (available) phosphorus using FIA colorimetry after sequential 1:10 Bray 2 (NH4F/HCl) extraction (sequential extraction 1, 2, and 3); Garrett et al. (2022)"
FR380_chemical,Scion_Bray P (mg/kg) seq 2,,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Bray P (mg/kg) seq 3,,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 B (mg/kg),,,Scion soil chemistry test,"available elements (aluminium, boron, calcium, copper, iron, magnesium, manganese, sodium, phosphorus, potassium, zinc) using ICP-MS (inductively coupled plasma mass spectrometry) after Mehlich 3 extraction; Garrett et al. (2022)"
FR380_chemical,Scion_Mehlich 3 Al (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Na (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Mg (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 P (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 K (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Ca (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Mn (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Fe (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Cu (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Scion_Mehlich 3 Zn (mg/kg),,,Scion soil chemistry test,"NA; NA"
FR380_chemical,Lab 3_Sulphate S (mg/kg),,,Lab 3 soil chemistry test,sulphate-S was measured by IC (Ion Chromatography) after 0.02M potassium phosphate extraction; Garrett et al. (2022)
FR380_chemical,Lab 4_Total B (mg/kg),,,Lab 4 soil chemistry test,"Elemental totals for aluminium, arsenic, boron, barium, calcium, cadmium, cobalt, chromium, copper, iron, potassium, magnesium, manganese, sodium, nickel, phosphorus, lead, sulphur, selenium, strontium, thallium, uranium, vanadium, and zinc (Al, As, B, Ba, Ca, Cd, Co, Cr, Cu, Fe, K, Mg, Mn, Na, Ni, P, Pb, S, Se, Sr, Tl, U, V, and Zn) were measured by ICP-MS (inductively coupled plasma mass spectrometry) using a modified USEPA digestion method 3050B to include a reverse aqua regia digest of 1 HCl: 3 HNO3 to limit Cl- interference; Garrett et al. (2022)"
FR380_chemical,Lab 4_Total Na (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Mg (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Al (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total P (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total S (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total K (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Ca (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total V (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Cr (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Mn (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Fe (mg/kg,,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Co (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Ni (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Cu (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Zn (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total As (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Se (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Sr (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Cd (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Ba (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Tl (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total Pb (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
FR380_chemical,Lab 4_Total U (mg/kg),,,Lab 4 soil chemistry test,"NA; NA"
