source,id,original_name,import,ossl_name,abbrev,unit,original_description
kssl_calc,1244,"Active Carbon, weight note, N, Cary 60",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1238,"Active Carbon, weight note, S, Cary 50",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1242,"Active Carbon, weight note, S, Cary 60",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1246,"Active Carbon, weight note, S80, Cary 50",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_calc,1247,"Active Carbon, weight note, S80, Cary 60",,,ActCWt,(NA),Active Carbon weight note displays a note if the average weight used in analysis is outside the range 2.4 to 2.6 gm.
kssl_analyte,630,"Aegirine-Augite, petro_count",,,min_AI_petro_count,count,to be added
kssl_analyte,1386,"Aegirine-Augite, x-ray pm",,,min_AI_x-ray_pm,peak_size,to be added
kssl_analyte,1,"Aggregate Stability, 0.5-2mm Aggregates",,,aggstb,% wt,Aggregate stability is the weight percent of 0.5mm - 2mm aggregates remaining after wet sieving.
kssl_analyte,1518,"Aggregate Stability, 0.5-2mm Aggregates, Univ of Missouri",,,aggstb_MO,% wt,Aggregate stability is the weight percent of 0.5mm - 2mm aggregates remaining after wet sieving.  Analyzed at University of Missouri Soil Health Assessment Center.
kssl_analyte,110,"Albite, petro_count",,,min_FB_petro_count,count,to be added
kssl_analyte,1241,"Albite, x-ray pm",,,min_FB_x-ray_pm,peak_size,to be added
kssl_analyte,633,"Allophane, petro_count",,,min_AL_petro_count,count,to be added
kssl_analyte,1387,"Allophane, x-ray pm",,,min_AL_x-ray_pm,peak_size,to be added
kssl_calc,1314,"AlplushalfFe times 15 plus Glass, GP prep, Disp, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1315,"AlplushalfFe times 15 plus Glass, M prep, Disp, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1313,"AlplushalfFe times 15 plus Glass, N prep, Disp, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1312,"AlplushalfFe times 15 plus Glass, S prep, Disp, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,987,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,988,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 2",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,989,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 3",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,990,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 4",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1159,"AlplushalfFe times 15.625 plus Glass, GP prep, Inst Set 5",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,991,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,992,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 2",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,993,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 3",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,994,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 4",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1160,"AlplushalfFe times 15.625 plus Glass, M prep, Inst Set 5",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,983,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,984,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 2",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,985,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 3",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,986,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 4",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1158,"AlplushalfFe times 15.625 plus Glass, N prep, Inst Set 5",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,979,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 1",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,980,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 2",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,981,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 3",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,982,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 4",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1157,"AlplushalfFe times 15.625 plus Glass, S prep, Inst Set 5",,,alfe15_glass,%,"Al plus 1/2 Fe from Oxalate times 15.625 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1318,"AlplushalfFe times 60 plus Glass, GP prep, Disp, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1319,"AlplushalfFe times 60 plus Glass, M prep, Disp, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1317,"AlplushalfFe times 60 plus Glass, N prep, Disp, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1316,"AlplushalfFe times 60 plus Glass, S prep, Disp, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1003,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1004,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 2",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1005,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 3",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1006,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 4",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1163,"AlplushalfFe times 60.0 plus Glass, GP prep, Inst Set 5",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1007,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1008,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 2",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1009,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 3",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1010,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 4",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1164,"AlplushalfFe times 60.0 plus Glass, M prep, Inst Set 5",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,999,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1000,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 2",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1001,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 3",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1002,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 4",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1162,"AlplushalfFe times 60.0 plus Glass, N prep, Inst Set 5",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,995,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 1",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,996,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 2",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,997,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 3",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,998,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 4",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1161,"AlplushalfFe times 60.0 plus Glass, S prep, Inst Set 5",,,alfe60_glass,%,"Al plus 1/2 Fe from Oxalate times 60.0 plus weighted average of glass minerals in the .02 to 2 mm particle size fraction, based on particle size distribution percentages."
kssl_calc,1298,"Aluminum plus half Iron Oxalate, GP Prep, Disp, Inst Set 1",,,al_fe_ox,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,471,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 1",,,al_fe_ox1,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,472,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 2",,,al_fe_ox2,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,622,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 3",,,al_fe_ox3,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,942,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 4",,,al_fe_ox4,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1143,"Aluminum plus half Iron Oxalate, GP Prep, Inst Set 5",,,al_fe_ox5,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1299,"Aluminum plus half Iron Oxalate, HM Prep, Disp, Inst Set 1",,,al_fe_ox,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,467,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 1",,,al_fe_ox1,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,468,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 2",,,al_fe_ox2,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,620,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 3",,,al_fe_ox3,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,946,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 4",,,al_fe_ox4,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1144,"Aluminum plus half Iron Oxalate, HM Prep, Inst Set 5",,,al_fe_ox5,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1300,"Aluminum plus half Iron Oxalate, M Prep, Disp, Inst Set 1",,,al_fe_ox,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,465,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 1",,,al_fe_ox1,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,466,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 2",,,al_fe_ox2,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,619,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 3",,,al_fe_ox3,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,947,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 4",,,al_fe_ox4,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1145,"Aluminum plus half Iron Oxalate, M Prep, Inst Set 5",,,al_fe_ox5,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1301,"Aluminum plus half Iron Oxalate, MW Prep, Disp, Inst Set 1",,,al_fe_ox,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,473,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 1",,,al_fe_ox1,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,474,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 2",,,al_fe_ox2,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,623,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 3",,,al_fe_ox3,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,948,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 4",,,al_fe_ox4,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1146,"Aluminum plus half Iron Oxalate, MW Prep, Inst Set 5",,,al_fe_ox5,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1302,"Aluminum plus half Iron Oxalate, N Prep, Disp, Inst Set 1",,,al_fe_ox,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,469,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 1",,,al_fe_ox1,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,470,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 2",,,al_fe_ox2,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,621,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 3",,,al_fe_ox3,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,949,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 4",,,al_fe_ox4,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1147,"Aluminum plus half Iron Oxalate, N Prep, Inst Set 5",,,al_fe_ox5,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1303,"Aluminum plus half Iron Oxalate, S Prep, Disp, Inst Set 1",,,al_fe_ox,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,463,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 1",,,al_fe_ox1,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,464,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 2",,,al_fe_ox2,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,618,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 3",,,al_fe_ox3,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,950,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 4",,,al_fe_ox4,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1148,"Aluminum plus half Iron Oxalate, S Prep, Inst Set 5",,,al_fe_ox5,% wt,The extractable aluminum is added to half of the amount of extractable iron in an ammonium oxalate solution.
kssl_calc,1,"Aluminum Saturation, CEC-Set 1",,,al_sat_cec1,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,123,"Aluminum Saturation, CEC-Set 2",,,al_sat_cec2,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,333,"Aluminum Saturation, CEC-Set 3",,,al_sat_cec3,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,476,"Aluminum Saturation, CEC-Set 4",,,al_sat_cec4,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,477,"Aluminum Saturation, CEC-Set 5",,,al_sat_cec5,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,478,"Aluminum Saturation, CEC-Set 6",,,al_sat_cec6,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,502,"Aluminum Saturation, CECd-Set 1",,,al_sat_cecd1,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,802,"Aluminum Saturation, CECd-Set 10",,,al_sat_cecd10,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,803,"Aluminum Saturation, CECd-Set 11",,,al_sat_cecd11,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,804,"Aluminum Saturation, CECd-Set 12",,,al_sat_cecd12,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,805,"Aluminum Saturation, CECd-Set 13",,,al_sat_cecd13,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,806,"Aluminum Saturation, CECd-Set 14",,,al_sat_cecd14,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,807,"Aluminum Saturation, CECd-Set 15",,,al_sat_cecd15,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,808,"Aluminum Saturation, CECd-Set 16",,,al_sat_cecd16,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,809,"Aluminum Saturation, CECd-Set 17",,,al_sat_cecd17,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,810,"Aluminum Saturation, CECd-Set 18",,,al_sat_cecd18,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,811,"Aluminum Saturation, CECd-Set 19",,,al_sat_cecd19,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,503,"Aluminum Saturation, CECd-Set 2",,,al_sat_cecd2,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
kssl_calc,851,"Aluminum Saturation, CECd-Set 20",,,al_sat_cecd20,%,"Aluminum saturation is calculated by (AL_KCL/(Sum of bases))*100. It provides some inference of potential Al toxicity problems, although many other factors influence Al toxicity."
