analyte_id,analyte_name,analyte_abbrev,analyte_code,analyte_method_code,analyte_type,analyte_format,agg_method,uom_abbrev,adod_dependency,calc_script_path,calc_desc,calc_note,analyte_desc,analyte_note
12,"Water Retention, 1 Bar, Cores",w1bcore,W1Bcor,W1bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_core_1_bar.txt,To Be Added,,"1 bar water, cores is the gravimetric percent water in soil core after equilibration at 1 bar water tension. It is reported on a <2 mm base.",
13,"Water Retention, 1/10 Bar, Cores",w10core,W10cr,W10bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_core_0_1_bar.txt,To Be Added,,"1/10 bar water, cores is the gravimetric percent water in soil core after equilibration at 1/10 bar water tension. It is reported on a <2 mm base.",
14,"Water Retention, 1/3 Bar, Cores",w3core,W3corw,W33bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_core_1_3_bar.txt,To Be Added,,"1/3 bar water, cores is the gravimetric percent water in soil core after equilibration at 1/3 bar water tension. It is reported on a <2 mm base.",
15,"Water Retention, 2 Bar, Cores",w2bcore,W2Bcor,W2bar,F,5.1,mean,% wt,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\missing.txt,to be added,,"2 bar water, cores is the gravimetric percent water in soil core after equilibration at 2 bar water tension. It is reported on a <2 mm base.",
16,"Bulk Density, <2mm Fraction, Reconstituted, 1/3 Bar",db_rec3,Db3rec,Db3rec,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_1_3_bar.txt,To Be Added,,"Bulk density, <2mm fraction, reconstituted, 1/3 bar is the weight per unit volume of the <2 mm fraction, with volume measured on reconstituted samples at 1/3 bar water tension. It is reported as grams per cubic centimeter on a <2 mm base.",
17,"Bulk Density, <2mm Fraction, Reconstituted, Ovendry",db_recd,DbODrc,DbODre,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_ovendry.txt,To Be Added,,"Bulk density, <2mm fraction, reconstituted, oven dry is the weight per unit volume of the <2 mm fraction, with volume measured on oven dry (105 C) reconstituted samples. It is reported as grams per cubic centimeter on a <2 mm base.",
18,"Water Retention, 1/3 Bar, Reconstituted, Moist",w3rec,W3rec,W33bar,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_1_3_bar.txt,to be added,,"1/3 bar water, reconstituted moist is the gravimetric percent water in reconstituted samples (held moist) after equilibration at 1/3 bar water tension. It is reported on a <2 mm base.",
19,"Bulk Density, Compliant Cavity, Field Moisture",db_cc,Db_cc,DbCC,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\compliant_cavity_db.txt,To Be Added,,"Bulk density (compliant cavity at field H20) is the weight per unit volume of the <2 mm fraction, with volume measured at field (sampling) moisture content by the compliant cavity method. It is reported as grams per cubic centimeter on a <2 mm base.",
20,"Field Water Content, Compliant Cavity",fw_cc,FW_cc,FWcc,F,5.1,mean,% wt,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\compliant_cavity_h2o_content.txt,to be added,,Field H20 content by core is the field water content of the material from a core bulk density determination. It is reported as percent gravimetric water on a <2 mm base.,
21,"Bulk Density, Core, <2 mm fraction, Field Moist",db_fmstc,DbFldM,Dbfmst,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_core_field_moist.txt,to be added,,"Bulk density, <2mm fraction, field moist is the weight per unit volume of the <2 mm fraction, with volume measured at field (sampling) moisture. Measurements are made on known volume cores. It is reported as grams per cubic centimeter, <2 mm base.",
22,"Bulk Density, Clod, Field Water Content",db_fmst,DbFMst,Dbfwm,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_field_moist.txt,To BE Added,,"Bulk density, <2mm fraction, moist is the weight per unit volume of the <2 mm fraction, with volume measured at field (sampling) moisture on natural clods. It is reported as grams per cubic centimeter on a <2 mm base.",
23,"Bulk Density, <2mm Fraction, Rewet, Ovendry",db_rw_od,DbROD,DbOD,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_rewet_ovendry.txt,To Be Added,,"Bulk density, oven dry (105 C) is the weight per unit volume of the <2 mm fraction, with volume measured on oven dry (105 C) natural fabric (clods). It is reported as grams per cubic centimeter on a <2 mm base.",
24,"Bulk Density, 1/3 Bar, Before Rewet (Organic Soils)",db_3brw,Db3Brw,Db3brw,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_1_3_bar.txt,To Be Added,,"Bulk density, 1/3 bar rewet (organic soils) is the weight per unit volume of the <2 mm fraction, with volume being measured after samples have been equilibrated at 1/3 bar water tension, air dried, and re-equilibrated at 1/3 bar tension.",
25,"Bulk Density, 1/3 Bar, Rewet (Organic Soils)",db_3rw,Db3rw,Db3rw,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Bulk_Density\db_clod_rewet_1_3_bar.txt,To Be Added,,"Bulk density, 1/3 bar rewet (organic soils) is the weight per unit volume of the <2 mm fraction, with volume being measured after samples have been equilibrated at 1/3 bar water tension, air dried, and re-equilibrated at 1/3 bar tension.",
26,"Water Retention, 1/3 Bar, Before Rewet",w3brw,W3Brw,W33brw,F,5.1,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_1_3_bar.txt,to be added,,1/3 bar water before rewet is the gravimetric percent water in clods after air drying when equilibrated at 1/3 bar water tension. It is reported on a <2 mm base.,
27,"Water Retention, 1/3 Bar, Rewet",w3rw,W3rw,W33bar,F,5.1,mean,% wt,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content_clod_rewet_1_3_bar.txt,to be added,,1/3 bar water rewet is the gravimetric percent water in clods after air drying when equilibrated at 1/3 bar water tension. It is reported on a <2 mm base.,
28,"Bulk Density, 1/3 Bar, Estimated",db_3est,Db3est,Db3est,F,4.2,mean,g/cc,0,\\aioneli93ap1\CalcScripts\Sample_Analytes\missing.txt,to be added,dummy script,"Bulk density, 1/3 bar is estimated when no measured value exists. It has been estimated from rupture resistance, particle size distribution, and organic carbon.",
34,"Coarse Fragments, 2-5mm, Slaking Percentage",sp_25,SP_25,SlkP25,F,3,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Coarse_Fragments\co_frag,_slaking_percent,_2-5mm.txt",to be added,,The gravimetric percentage of 2 to 5 mm diameter particles slaking.,
43,"Field Water Content, <2mm",fw_l2,FW_L2,FWl2,F,4,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Physics\Water_Retention\h2o_content,_less_2mm,_all_bars.txt",to be added,,"The field water content of a bulk sample, <2mm is the gravimetric water content of a sample, as collected. It is reported as percent gravimetric water on a <2 mm base.",
44,"Weight, >75mm",wt_gt_75,WtG75,Wtg75,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_gt75mm.txt",to be added,,The weight of coarse fragments sieved after air-drying which are > 75 mm.,
45,"Weight, 2-5mm",wt_2_5,Wt_2_5,Wt25,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_2-5mm.txt",to be added,,The weight of the sieved coarse fragments after air-drying which are 2 to 5 mm.,
46,"Weight, 2-5mm, preslaked",wt_2_5_pre,Wt25pr,Wt25pr,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_2-5mm,_preslaked.txt",to be added,,"The weight of the subsample, 2 to 5 mm, before slaking.",
47,"Weight, 2-5mm, slaked",wt_2_5_sla,Wt25sl,Wt25sa,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_2-5mm,_slaked.txt",to be added,,The weight of the 2 to 5 mm aggregates remaining after slaking.,
48,"Weight, 20-75mm",wt_20_75,Wt2075,Wt2075,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_20-75mm.txt",to be added,,The weight of coarse fragments sieved after air-drying which are 20 to 75 mm.,
49,"Weight, 5-20mm",wt_5_20,Wt5_20,Wt520,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_5-20mm.txt",to be added,,The weight of the sieved coarse fragments after air-drying which are 5 to 20 mm.,
50,"Weight, air-dry sample",wt_air_dry,Wt_ad,WtAD,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_air-dry_sample.txt",to be added,,The weight of the air-dry bulk sample before any other processing occurs.,
51,"Weight, moist sample",wt_moist,Wt_mst,WtMst,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_moist_sample.txt",to be added,,"The weight of the bulk sample used to prepare the air-dried sample. This weight may be different from the self moist weight, because a subsample may have been taken for a moist preparation.",
52,"Weight, shelf sample",wt_shelf,Wt_slf,WtShlf,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_shelf_sample.txt",to be added,,"The pre-processed weight of the bulk sample, before any preparation work is done. The value of this weight is used in lieu of the actual field moist sample weight to make estimates of field moisture.",
53,"Weight, sub-sample air-dry",wt_sub_sam,Wtsubs,WtSSmp,F,5,mean,g,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Sample_Prep\Weight,_sub-sample_air-dry.txt",to be added,,The weight of the air-dry bulk sample after removal of clods and/or natural fabric and before any other processing occurs.,
54,"Carbonate, <2mm Fraction",caco3,CaCO3,CaCO3,F,3,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CaCO3_&_Gypsum\caco3,_less_2mm.txt",To Be Added,,"Carbonate in the < 2mm fraction is measured by CO2 evolution after acid treatment. It is reported as gravimetric percent CaCO3 on a <2 mm base, even though carbonates of Mg, Na, K, and Fe may be present and react with the acid.",
55,"Gibbsite, dsc",min_GI_dsc,GI_dsc,minGI,F,3,mean,%,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Thermal\dsc,_gibbsite_percent.txt",to be added,,to be added,
56,"Kaolinite, dsc",min_KK_dsc,KK_dsc,minKK,F,3,mean,%,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Mineralogy\Thermal\dsc,_kaolinite_percent.txt",to be added,,to be added,
57,"Carbonate, 2-20mm Fraction",caco32_20,CaCO20,CaCO3,F,3,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CaCO3_&_Gypsum\caco3,_2-20mm.txt",To Be Added,,"Carbonate in the 2-20mm fraction is measured by CO2 evolution after acid treatment. It is reported as gravimetric percent CaCO3 on a 2-20 mm base, even though carbonates of Mg, Na, K, and Fe may be present and react with the acid.",
58,"Carbon, Total",c_tot,C_tot,Ctot,F,4.2,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Elemental\total_carbon.txt,To Be Added,,"Total carbon is a measure of all organic and inorganic nitrogen, including that found in organic minerals.",
59,"Aluminum, Oxalate Extractable",al_ox,Al_ox,Al,F,5.2,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\oxalate_extract,_al.txt",To Be Added,,"Ammonium oxalate extractable aluminum is an estimate of the total pedogenic Al, much of which may be in noncrystalline materials or complexed by organic matter. It is reported as gravimetric percent on a <2 mm base.",
60,"Iron, Oxalate Extractable",fe_ox,Fe_ox,Fe,F,5.2,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\oxalate_extract,_fe.txt",To Be Added,,Ammonium oxalate extractable iron is considered a measure of the noncrystalline Fe in soils. It provides some inferences of the amount of Fe in various forms. It is reported as gravimetric % on a <2mm base.,
61,"Manganese, Oxalate Extractable",mn_ox,Mn_ox,Mn,F,7.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\oxalate_extract,_mn.txt",To Be Added,,The ammonium oxalate extractable manganese is assumed to be the fraction held in noncrystalline compounds. It is reported as milligrams per kilogram on a <2 mm base.,
63,"Phosphorus, Oxalate Extractable",p_ox,P_ox,P,F,6.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\oxalate_extract,_p.txt",To Be Added,,Phosphorus extracted with ammonium oxalate,
64,"Silicon, Oxalate Extractable",si_ox,Si_ox,Si,F,5.2,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\oxalate_extract,_si.txt",To Be Added,,The amount of ammonium oxalate extractable silica relates to the amount of allophane and imogolite in andic materials. It is reported as a gravimetric percent on a <2 mm base.,
65,"Aluminum, Dithionite Citrate Extractable",al_dith,Al_dc,Al,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\cd_extract,_al.txt",To Be Added,,Dithionite citrate extractable aluminum is an indicator of the amount of aluminum substituted for iron in iron oxides. It does not necessarily represent total pedogenic Al.,
66,"Iron, Dithionite Citrate Extractable",fe_dith,Fe_dc,Fe,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\cd_extract,_fe.txt",To Be Added,,"Dithionite citrate extractable iron is considered a general measure of total pedogenic iron. It provides inferences on the amount of iron in various forms, P fixing potential, aggregate stability, and degree of weathering. Reported as grav % on <2mm.",
67,"Manganese, Dithionite Citrate Extractable",mn_dith,Mn_dc,Mn,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\cd_extract,_mn.txt",To Be Added,,Dithionite citrate extractable manganese is considered easily reducible manganese. It is reported as gravimetric percent on a <2 mm base. Values >0.2% are rare.,
68,"Silicon, Dithionite Citrate Extractable",si_dith,Si_dc,Si,F,4.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\cd_extract,_si.txt",To Be Added,This analyte is generally not requested.,Dithionite citrate extractable silica is considered an indicator of the amount of amorphous or more readily soluble silica. It is reported as gravimetric % on a <2 mm base.,
69,"Aluminum, KCl Extractable",al_kcl,Al_kcl,Al,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Exchange\kcl_extract,_al.txt",To Be Added,,"KCl extractable aluminum approximates the exchangeable Al, and is a measure of the active acidity present in soils with a 1:1 water pH less than 5.5. It relates to the immediate lime requirement and the CEC of the soil.",
70,"Manganese, KCl Extractable",mn_kcl,Mn_kcl,Mn,F,4.1,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Exchange\kcl_extract,_mn.txt",To Be Added,,The KCl extractable manganese approximates the exchangeable or plant available fraction. It is reported as milligrams per kilogram on a <2 mm base.,
71,"Aluminum, Sodium Pyrophosphate Extractable",al_pyp,Al_pyp,Al,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\pyro_extract,_al.txt",To Be Added,,"Sodium pyrophosphate extractable aluminum is the fraction extracted by 0.1M sodium pyrophosphate. It was originally considered the portion associated with organic compounds, although subsequent evidence indicates other forms are also removed.",
72,"Carbon, Sodium Pyrophosphate Extractable",c_pyp,C_pyp,Cpyp,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\pyro_extract,_organic_c.txt",To Be Added,,Sodium pyrophosphate extractable carbon was originally thought to correspond to carbon that bound Fe and Al in spodic materials. It is reported on a <2 mm base.,
73,"Iron, Sodium Pyrophosphate Extractable",fe_pyp,Fe_pyp,Fe,F,5.1,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\pyro_extract,_fe.txt",To Be Added,,Sodium pyrophosphate extractable iron is assumed to be the fraction associated with organic complexes. It is reported as gravimetric percent on a <2 mm base.,
74,"Manganese, Sodium Pyrophosphate Extractable",mn_pyp,Mn_pyp,Mn,F,5.2,mean,% wt,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Selective_Dissolution\pyro_extract,_mn.txt",To Be Added,,"Sodium pyrophosphate extractable manganese is the fraction extracted by 0.1M sodium pyrophosphate. It was originally considered the portion associated with organic compounds, although subsequent evidence indicates other forms are also removed.",
75,"Calcium, Neutral Salt Extractable",ca_neutral_salt,Ca_nst,Ca,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4cl,_extr_ca.txt",to be added,,The neutral salt extractable calcium is the fraction removed by 1.0N NH4Cl.,
76,"CEC, NH4Cl",cec_nhcl,CECnst,CEC,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4cl,_cec.txt",To Be Added,,"CEC by a neutral unbuffered salt (1N NH4Cl) is a measure of the neutral salt exchange capacity of the soil at its natural pH, reported as meq per 100 grams on a <2 mm base. For noncalcareous soils this value approximates (BASE_SUM+AL_KCL).",
77,"Magnesium, Neutral Salt Extractable",mg_neutral_salt,Mg_nst,Mg,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4cl,_extr_mg.txt",to be added,,The neutral salt extractable magnesium is the fraction removed by 1.0N NH4Cl.,
78,"Potassium, Neutral Salt Extractable",k_neutral_salt,K_nst,K,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4cl,_extr_k.txt",to be added,,The neutral salt extractable potassium is the fraction removed by 1.0N NH4Cl.,
79,"Sodium, Neutral Salt Extractable",na_neutral_salt,Na_nst,Na,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4cl,_extr_na.txt",to be added,,The neutral salt extractable sodium is the fraction removed by 1.0N NH4Cl.,
80,"Volume, CEC, NH4Cl Syringe Extract",volcecextr_NH4Cl,Volnst,VolExt,F,4.2,mean,mL,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4cl,_extract_volume.txt",To Be Added,,"The volume of the extract contained in the syrringe of the CEC procedure. This value is not normally reported. It is used in the calculation of extractable bases (Ca, Mg, Na, K).",
81,"Calcium, NH4OAc Extractable",ca_nh4,Ca_nh4,Ca,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4oac,_extr_ca.txt",To Be Added,,NH4OAC extractable calcium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Ca. It is reported as meq per 100 grams on a <2 mm base. It is not reported for samples containing carbonates or soluble salts.,
82,"CEC, NH4OAc, pH 7.0",cec_nh4,CECnh4,CEC,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4oac,_cec.txt",To Be Added,,"CEC by NH4OAC is the cation exchange capacity of the sample, determined by 1N NH4OAC in a system highly buffered at pH 7.0. It is reported as meq per 100 grams sample, on a <2 mm base.",
83,"Magnesium, NH4OAc Extractable",mg_nh4,Mg_nh4,Mg,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4oac,_extr_mg.txt",To Be Added,,NH4OAC extractable magnesium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Mg if MgCO3 is not present. It is reported as meq per 100 grams on a <2 mm base.,
84,"Potassium, NH4OAc Extractable",k_nh4,K_nh4,K,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4oac,_extr_k.txt",To Be Added,,NH4OAC extractable potassium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable K. It is reported as meq per 100 grams on a <2 mm base.,
85,"Sodium, NH4OAc Extractable",na_nh4,Na_nh4,Na,F,4.1,mean,cmol(+)/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4oac,_extr_na.txt",To Be Added,,NH4OAC extractable sodium is the fraction removed by pH 7.0 NH4OAC. It is assumed to represent the exchangeable Na. It is reported as meq per 100 grams on a <2 mm base.,
86,"Volume, CEC, NH4OAc, Syringe Extract",volcecextr_NH4OAc,Volnh4,VolExt,F,4.2,mean,mL,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CEC_&_Extr_Cations\nh4oac,_extract_volume.txt",To Be Added,,"The volume of the extract contained in the syrringe of the CEC procedure. This value is not normally reported. It is used in the calculation of extractable bases (Ca, Mg, Na, K).",
88,"Acidity, BaCl2-TEA Extractable, pH 8.2",acid_tea,ExtAcd,AcidEx,F,4.1,mean,cmol(+)/kg,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Exchange\extractable_acidity.txt,To Be Added,,"Extractable acidity, BaCl2-TEA at pH 8.2, is a measure of the amount of acid neutralized at a set pH. It is a measure of the potential acidity present, and does not distinguish between exchangeable and nonexchangeable components.",
89,"Uncorrected Gypsum, < 2mm Fraction",u_gypl2,uGypL2,Gyp,F,3,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CaCO3_&_Gypsum\uncorrected_gypsum_less_2mm.txt,To Be Added,,Calcium sulfate as gypsum in the <2 mm fraction is reported as a gravimetric percent on a <2 mm base.,
90,"Uncorrected Gypsum, 2 to 20mm",u_gyp_2_20,Gyp220,Gyp,F,3,mean,% wt,1,\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\CaCO3_&_Gypsum\uncorrected_gypsum_2_20mm.txt,To Be Added,,Calcium sulfate as gypsum in the <2 mm fraction is reported as a gravimetric percent on a <0 mm base.,
91,"Mineral Content, Loss on Ignition",min_lt2,MinLos,Minl2,F,3,mean,% wt,0,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Other\mineral_content,_loss_on_ignition.txt",To Be Added,,"Mineral Content, Loss on Ignition (400 degrees C)(8F1). The mineral content of the <2mm fraction is the gravimetric percent of plant ash and mineral particles that remain after ignition. It is reported on a <2 mm base.",
92,"Nitrate, 1M KCl",n_no3,N_no3,NO3,F,6.2,mean,mg/kg,1,"\\aioneli93ap1\CalcScripts\Sample_Analytes\Chemistry\Exchange\kcl_extract,_1M,_nitrate.txt",To Be Added,,The nitrate nitrogen is the fraction in NO3 form. It is extracted by 1M KCl and represents the soluble NO3 that may be subject to leaching.,
